Date,Opponent,Time
23-Feb,Chicago (AL),1:05 PM
24-Feb,San Francisco,1:05 PM
24-Feb,Kansas City,1:05 PM
25-Feb,Mariners,1:10 PM
26-Feb,Texes,1:05 PM
27-Feb,Texas,1:05 PM
28-Feb,San Diego,1:10 PM
1-Mar,Cleveland,1:05 PM
2-Mar,Chicago (AL),1:05 PM
3-Mar,Arizona,1:05 PM
4-Mar,San Francisco,1:05 PM
5-Mar,Cleveland,1:05 PM
6-Mar,Chicago (NL),1:05 PM
7-Mar,Anahiem,1:10 PM
8-Mar,Cleveland,6:05 PM
9-Mar,Kansas City,1:05 PM
10-Mar,Chicago (NL),7:05 PM
11-Mar,Colorado,1:10 PM
12-Mar,Milwaukee,1:05 PM
14-Mar,Colorado,7:05 PM
15-Mar,Kansas City,1:05 PM
16-Mar,Arizona,1:10 PM
17-Mar,Chicago (AL),1:05 PM
18-Mar,San Diego,1:05 PM
18-Mar,Milwaukee,1:05 PM
19-Mar,Oakland,7:05 PM
20-Mar,Oakland,1:05 PM
22-Mar,Anahiem,7:05 PM
23-Mar,Kansas City,1:05 PM
24-Mar,Chicago (AL),12:05 AM